filename	width	height	status	ref_count	locales	sample_pages
embedding-semantic-space-ja.webp	1536	1024	candidate	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch01-nlp-crash/02-embeddings.md
embedding-semantic-space.webp	1536	1024	candidate	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch01-nlp-crash/02-embeddings.md
finetuning-alignment-pipeline-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch06-finetuning/01-finetuning-overview.md
finetuning-alignment-pipeline-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch06-finetuning/01-finetuning-overview.md
finetuning-alignment-pipeline.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch06-finetuning/01-finetuning-overview.md
lora-parameter-update-en.webp	1536	1024	candidate	1	en	docs/ch07-llm-principles/ch06-finetuning/02-lora-qlora.md
lora-parameter-update-ja.webp	1536	1024	candidate	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch06-finetuning/02-lora-qlora.md
lora-parameter-update.webp	1536	1024	candidate	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch06-finetuning/02-lora-qlora.md
pretraining-data-pipeline-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch04-pretraining/01-pretraining-data.md
pretraining-data-pipeline-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch04-pretraining/01-pretraining-data.md
pretraining-data-pipeline.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch04-pretraining/01-pretraining-data.md
prompt-before-after-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch05-prompt/01-prompt-basics.md
prompt-before-after-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch05-prompt/01-prompt-basics.md
prompt-before-after.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch05-prompt/01-prompt-basics.md
rlhf-three-stage-loop-en.webp	1536	1024	candidate	1	en	docs/ch07-llm-principles/ch07-alignment/02-rlhf.md
rlhf-three-stage-loop-ja.webp	1536	1024	candidate	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch07-alignment/02-rlhf.md
rlhf-three-stage-loop.webp	1536	1024	candidate	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch07-alignment/02-rlhf.md
tokenizer-subword-flow-en.webp	1536	1024	candidate	1	en	docs/ch07-llm-principles/ch01-nlp-crash/01-tokenizer.md
tokenizer-subword-flow-ja.webp	1536	1024	candidate	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch01-nlp-crash/01-tokenizer.md
tokenizer-subword-flow.webp	1536	1024	candidate	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch01-nlp-crash/01-tokenizer.md
